merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,title,title_orig,price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id,theme,crawl_month,tag,count,keyword
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,666,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,32,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,33,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,667,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,34,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,668,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,669,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,35,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,36,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,670,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,671,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,672,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,37,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,673,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,674,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,675,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,676,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,677,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,678,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,679,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,680,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,681,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,38,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,39,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,682,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,683,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,684,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,685,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,686,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,687,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,40,-5.044162761499142e-17,0
0,5.066276658779334e-16,1.800402313329696e-16,-5.641954518857215e-16,-8.971194682586894e-15,1.2207912477039426e-16,0.0,-3.33841249780186e-16,-2.5305449984896146e-16,5.061652839651762e-16,3.3571485978987674e-16,-1.694815659580727e-15,-4.4454804504864106e-15,787,412,-1.0119410061424738e-15,5.257962957536708e-16,0,4.3225872510423133e-16,0.0,0.0,1.3079386771920987e-16,0.0,-2.056250182831046e-16,-4.234212706722407e-16,0.0,-1.8210369936038144e-16,0.0,0.0,3.4343296506531975e-17,249,13,55,-7.500929982720174e-16,5,0.0,0.0,0.0,0.0,0.0,0,1,527,935,437,2.060725762698152e-16,9.796726210856117e-15,106,1.761436150090786e-16,117,12,12,12,0,0,688,-5.044162761499142e-17,0
